,ElemSymbol,AtNum,Charge,Wavelength
0,Xe,54,2,103.77
1,Xe,54,2,104.13
2,Ar,18,1,104.82
3,Xe,54,2,104.83
4,Xe,54,2,105.19
5,Cl,17,2,106.38
6,Ar,18,1,106.67
7,Cl,17,2,106.79
8,Cl,17,2,107.1
9,Cl,17,2,107.18
10,Xe,54,2,107.45
11,Cl,17,2,107.52
12,Cl,17,2,107.91
13,Xe,54,2,110.04
14,Kr,36,1,116.49
15,Xe,54,2,118.31
16,N,7,1,119.96
17,N,7,1,120.02
18,N,7,1,120.07
19,H,1,1,121.57
20,Kr,36,1,123.58
21,N,7,1,124.32
22,S,16,2,125.06
23,S,16,2,125.38
24,S,16,2,125.95
25,C,6,1,127.72
26,C,6,1,127.73
27,C,6,1,127.76
28,C,6,1,128.03
29,O,8,1,130.22
30,O,8,1,130.49
31,O,8,1,130.6
32,Cl,17,1,134.72
33,Cl,17,1,135.17
34,B,5,2,136.25
35,Cl,17,1,136.34
36,Cl,17,1,137.95
37,Cl,17,1,138.97
38,Cl,17,1,139.0
39,Cl,17,1,139.65
40,S,16,1,142.5
41,S,16,1,143.33
42,S,16,1,147.4
43,S,16,1,148.3
44,N,7,1,149.26
45,C,6,1,156.07
46,C,6,1,156.14
47,B,5,2,162.36
48,B,5,2,162.38
49,B,5,2,162.4
50,B,5,2,162.44
51,C,6,1,165.63
52,C,6,1,165.69
53,C,6,1,165.7
54,C,6,1,165.74
55,C,6,1,165.79
56,C,6,1,165.81
57,S,16,1,166.67
58,Al,13,2,167.08
59,P,15,1,167.11
60,Se,34,1,167.12
61,Pb,82,2,167.15
62,P,15,1,167.25
63,P,15,1,167.46
64,Sc,21,2,167.52
65,P,15,1,167.97
66,Pb,82,2,168.22
67,P,15,1,168.6
68,Re,75,1,168.69
69,S,16,1,168.75
70,Se,34,1,169.07
71,P,15,1,169.4
72,Ba,56,2,169.44
73,Si,14,1,169.79
74,Au,79,1,169.93
75,Sn,50,2,169.94
76,Te,52,1,169.99
77,Re,75,1,171.29
78,Fe,26,2,171.9
79,Al,13,2,171.94
80,Al,13,2,172.13
81,Al,13,2,172.5
82,Pb,82,2,172.68
83,Mg,12,2,173.48
84,Sb,51,1,173.62
85,Mg,12,2,173.76
86,Au,79,2,174.05
87,N,7,1,174.27
88,Mg,12,1,174.78
89,Te,52,1,175.1
90,C,6,1,175.18
91,Mg,12,2,175.35
92,Sn,50,2,175.79
93,As,33,1,175.86
94,Te,52,1,175.92
95,Al,13,2,176.2
96,Sb,51,3,176.23
97,Al,13,1,176.29
98,C,6,1,176.39
99,Al,13,2,176.4
100,C,6,1,176.54
101,Al,13,1,176.56
102,Al,13,1,176.64
103,Bi,83,1,176.77
104,Al,13,2,176.77
105,Al,13,1,176.91
106,Sr,38,2,176.96
107,In,49,2,177.06
108,In,49,2,177.48
109,P,15,1,177.5
110,Be,4,2,177.61
111,Be,4,2,177.63
112,Bi,83,2,177.7
113,Pt,78,2,177.71
114,Sr,38,2,177.84
115,Sb,51,1,178.09
116,Pt,78,2,178.19
117,S,16,1,178.23
118,I,53,1,178.28
119,P,15,1,178.28
120,Au,79,2,178.32
121,Bi,83,2,178.74
122,P,15,1,178.77
123,Bi,83,2,179.18
124,Au,79,2,179.33
125,Se,34,1,179.53
126,Te,52,1,179.63
127,Pb,82,2,179.67
128,I,53,1,179.91
129,Ga,31,2,179.93
130,Sb,51,1,180.02
131,Au,79,2,180.06
132,As,33,1,180.62
133,S,16,1,180.73
134,Ca,20,2,180.73
135,Sb,51,1,181.05
136,Sn,50,2,181.12
137,Ga,31,2,181.39
138,Sb,51,1,181.42
139,Ca,20,2,181.45
140,Si,14,2,181.69
141,B,5,1,181.78
142,B,5,1,181.83
143,S,16,1,182.03
144,Pb,82,2,182.2
145,Te,52,1,182.24
146,Bi,83,2,182.37
147,B,5,1,182.59
148,S,16,1,182.62
149,B,5,1,182.64
150,Mg,12,1,182.79
151,I,53,1,183.04
152,Sn,50,2,183.18
153,Ir,77,1,183.25
154,P,15,1,183.48
155,Ca,20,2,183.8
156,Ca,20,2,184.01
157,Si,14,1,184.14
158,B,5,2,184.28
159,Ca,20,2,184.31
160,Ru,44,1,184.41
161,I,53,1,184.44
162,Ga,31,2,184.52
163,Si,14,1,184.55
164,P,15,1,184.72
165,Si,14,1,184.75
166,Si,14,1,184.81
167,Hg,80,1,184.95
168,Te,52,1,185.05
169,Si,14,1,185.07
170,Ca,20,2,185.07
171,P,15,1,185.12
172,Te,52,1,185.2
173,P,15,1,185.21
174,Si,14,1,185.25
175,Bi,83,1,185.26
176,Te,52,1,185.37
177,Se,34,1,185.52
178,Al,13,2,185.59
179,Au,79,1,185.72
180,Te,52,1,185.73
181,Al,13,2,185.8
182,Re,75,1,185.87
183,Se,34,1,185.88
184,P,15,1,185.89
185,P,15,1,185.94
186,As,33,2,186.03
187,Te,52,1,186.05
188,Al,13,2,186.23
189,Ir,77,1,186.25
190,Sb,51,1,187.12
191,Ru,44,2,187.56
192,Au,79,1,187.98
193,Sb,51,1,188.26
194,Ru,44,2,188.8
195,As,33,1,189.04
196,Os,76,1,189.44
197,Re,75,1,189.84
198,Se,34,1,189.86
199,Os,76,1,189.86
200,Sn,50,2,189.99
201,S,16,1,190.03
202,Si,14,1,190.13
203,Bi,83,2,190.23
204,Ru,44,2,190.32
205,Ge,32,1,190.47
206,Pb,82,1,190.48
207,Re,75,1,190.57
208,Ti,22,2,190.62
209,P,15,1,190.77
210,Ti,22,2,190.82
211,Tl,81,2,190.86
212,Pt,78,2,191.17
213,As,33,2,191.29
214,Ir,77,1,191.32
215,Se,34,1,191.38
216,S,16,5,191.41
217,Ne,10,2,191.61
218,Ru,44,2,191.68
219,Ge,32,1,191.76
220,Se,34,1,191.92
221,Au,79,1,191.96
222,Ir,77,1,192.16
223,Ba,56,2,192.47
224,Os,76,1,192.5
225,Sb,51,1,192.71
226,Ru,44,1,192.76
227,Ge,32,1,192.98
228,Ne,10,2,193.0
229,C,6,1,193.09
230,Pd,46,1,193.23
231,Pt,78,1,193.42
232,In,49,2,193.62
233,As,33,1,193.76
234,Hg,80,2,194.23
235,Ge,32,1,194.47
236,Ir,77,1,194.81
237,Sb,51,1,195.04
238,W,74,2,195.11
239,Au,79,1,195.19
240,Bi,83,1,195.47
241,Os,76,1,195.5
242,Ge,32,1,195.51
243,Bi,83,1,196.0
244,Se,34,1,196.09
245,Ge,32,1,196.2
246,Sr,38,2,196.44
247,Be,4,1,196.46
248,In,49,2,196.67
249,Ge,32,1,197.09
250,Pb,82,1,197.24
251,As,33,1,197.26
