,ElemSymbol,AtNum,Charge,Wavelength,IntIlab,Aki,Ei,Ek,gi,gk,IntAtomtrace,Source
0,Xe,54,2,103.77,179.0,,,,,,,Ilab
1,Xe,54,2,104.13,230.0,,,,,,,Ilab
2,Ar,18,1,104.82,691.0,,,,,,,Ilab
3,Xe,54,2,104.83,208.0,,,,,,,Ilab
4,Xe,54,2,105.19,230.0,,,,,,,Ilab
5,Cl,17,2,106.38,870.0,,,,,,,Ilab
6,Ar,18,1,106.67,621.0,,,,,,,Ilab
7,Cl,17,2,106.79,801.0,,,,,,,Ilab
8,Cl,17,2,107.1,910.0,,,,,,,Ilab
9,Cl,17,2,107.18,870.0,,,,,,,Ilab
10,Xe,54,2,107.45,248.0,,,,,,,Ilab
11,Cl,17,2,107.52,852.0,,,,,,,Ilab
12,Cl,17,2,107.91,852.0,,,,,,,Ilab
13,Xe,54,2,110.04,230.0,,,,,,,Ilab
14,Kr,36,1,116.49,426.0,,,,,,,Ilab
15,Xe,54,2,118.31,208.0,,,,,,,Ilab
16,N,7,1,119.96,602.0,,,,,,,Ilab
17,N,7,1,120.02,595.0,,,,,,,Ilab
18,N,7,1,120.07,589.0,,,,,,,Ilab
19,H,1,1,121.57,1364.0,,,,,,,Ilab
20,Kr,36,1,123.58,461.0,,,,,,,Ilab
21,N,7,1,124.32,589.0,,,,,,,Ilab
22,S,16,2,125.06,256.0,,,,,,,Ilab
23,S,16,2,125.38,271.0,,,,,,,Ilab
24,S,16,2,125.95,277.0,,,,,,,Ilab
25,C,6,1,127.72,552.0,,,,,,,Ilab
26,C,6,1,127.73,552.0,,,,,,,Ilab
27,C,6,1,127.76,570.0,,,,,,,Ilab
28,C,6,1,128.03,530.0,,,,,,,Ilab
29,O,8,1,130.22,680.0,,,,,,,Ilab
30,O,8,1,130.49,640.0,,,,,,,Ilab
31,O,8,1,130.6,570.0,,,,,,,Ilab
32,Cl,17,1,134.72,921.0,,,,,,,Ilab
33,Cl,17,1,135.17,852.0,,,,,,,Ilab
