Identifier,Element,State,Wavelength,Aki,Ei,Ek,gi,gk
H I 656.28,H,I,656.28,53900000.0,10.199,12.088,2.0,4.0
He I 388.87,He,I,388.87,9562200.0,19.82,23.007,3.0,1.0
He I 587.58,He,I,587.58,70700000.0,20.9641,23.0737,5.0,7.0
Li I 323.26,Li,I,323.26,1000000.0,0.0,3.834,2.0,4.0
Li I 610.36,Li,I,610.36,68562000.0,1.8479,3.8786,4.0,6.0
Li I 670.78,Li,I,670.78,36900000.0,0.0,1.848,2.0,4.0
Be II 234.86,Be,II,234.86,552000000.0,0.0,5.277,1.0,3.0
Be II 313.04,Be,II,313.04,113000000.0,0.0,3.959,2.0,4.0
Be II 313.04,Be,II,313.04,113000000.0,0.0,3.959,2.0,4.0
Be II 467.34,Be,II,467.34,221000000.0,12.157,14.81,6.0,8.0
B I 249.77,B,I,249.77,168000000.0,0.002,4.964,4.0,2.0
B II 345.10,B,II,345.1,54200000.0,9.1,12.691,3.0,5.0
C I 396.84,C,I,396.84,,,,,
C I 193.09,C,I,193.09,339000000.0,1.2637,7.6848,5.0,3.0
C I 247.88,C,I,247.88,28000000.0,2.684,7.685,1.0,3.0
N II 444.70,N,II,444.7,112000000.0,20.409,23.196,3.0,5.0
N II 500.51,N,II,500.51,114000000.0,20.666,23.142,7.0,9.0
N I 746.84,N,I,746.84,19600000.0,10.3359,11.9956,6.0,4.0
N I 821.07,N,I,821.07,5230000.0,10.3301,11.8397,4.0,4.0
O I 777.19,O,I,777.19,36900000.0,9.146,10.741,5.0,7.0
O I 777.19,O,I,777.19,36900000.0,9.146,10.741,5.0,7.0
O I 777.42,O,I,777.42,36900000.0,9.146,10.74,5.0,5.0
O I 777.54,O,I,777.54,36900000.0,9.146,10.74,5.0,3.0
O I 822.18,O,I,822.18,28900000.0,12.539,14.047,7.0,7.0
O I 844.64,O,I,844.64,32200000.0,9.521,10.989,3.0,5.0
F I 685.60,F,I,685.6,45000000.0,12.697,14.505,6.0,8.0
F I 687.02,F,I,687.02,38000000.0,12.751,14.555,2.0,2.0
F I 690.25,F,I,690.25,31000000.0,12.731,14.526,4.0,6.0
F I 690.98,F,I,690.98,18000000.0,12.751,14.544,2.0,4.0
F I 696.64,F,I,696.64,16000000.0,12.985,14.764,4.0,2.0
F I 703.75,F,I,703.75,38000000.0,12.985,14.746,4.0,4.0
,Ne,,,,,,,
Na I 589.00,Na,I,589.0,61600000.0,0.0,2.104,2.0,4.0
Na I 589.59,Na,I,589.59,61400000.0,0.0,2.102,2.0,2.0
Mg II 279.09,Mg,II,279.09,401000000.0,4.422,8.864,2.0,4.0
Mg II 279.55,Mg,II,279.55,260000000.0,0.0,4.434,2.0,4.0
Mg II 279.81,Mg,II,279.81,479000000.0,4.434,8.864,4.0,6.0
Mg II 280.27,Mg,II,280.27,257000000.0,0.0,4.422,2.0,2.0
Mg I 285.21,Mg,I,285.21,491000000.0,0.0,4.346,1.0,3.0
Mg II 292.88,Mg,II,292.88,115000000.0,4.422,8.655,2.0,2.0
Mg II 293.67,Mg,II,293.67,230000000.0,4.434,8.655,4.0,2.0
Mg I 382.93,Mg,I,382.93,89900000.0,2.709,5.946,1.0,3.0
Mg I 383.20,Mg,I,383.2,67400000.0,2.712,5.946,3.0,3.0
Mg I 383.79,Mg,I,383.79,40300000.0,2.717,5.946,5.0,5.0
Mg I 389.19,Mg,I,389.19,177000000.0,7.17,10.355,3.0,5.0
Mg II 448.09,Mg,II,448.09,233000000.0,8.864,11.63,6.0,8.0
Mg I 516.73,Mg,I,516.73,11300000.0,2.709,5.108,1.0,3.0
Mg I 517.27,Mg,I,517.27,33700000.0,2.712,5.108,3.0,3.0
Mg I 518.37,Mg,I,518.37,56100000.0,2.717,5.108,5.0,3.0
Al II 281.64,Al,II,281.64,357000000.0,7.421,11.822,3.0,1.0
Al I 308.21,Al,I,308.21,58700000.0,0.0,4.021,2.0,4.0
Al I 308.23,Al,I,308.23,58700000.0,0.0,4.021,2.0,4.0
Al I 308.24,Al,I,308.24,58700000.0,0.0,4.021,2.0,4.0
Al I 309.28,Al,I,309.28,72900000.0,0.014,4.022,4.0,6.0
Al I 309.29,Al,I,309.29,11600000.0,0.0139,4.0215,4.0,4.0
