x_shift,intercept,x,x^2,x^3,degree,laser energy,gate delay
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1278.238509595411,-1.3581564542600622,-0.008566232477965303,1.0910784527138597e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1341.5380933111978,-2.2520744506966532,-0.00916812194564611,1.7089002343729098e-05,3,5,100
600.0,1129.2532560575385,-1.2385916385494224,-0.00760590183837305,1.1292547117157068e-05,3,5,100
600.0,1337.7682626466276,-1.1477563596934335,-0.009381957119640934,9.895429870601686e-06,3,5,100
600.0,1230.619915828574,-1.0703296206923718,-0.007837457196619192,7.768119319774663e-06,3,5,100
600.0,1381.8753774000959,-1.5342354307146815,-0.009590014022633672,1.3351790621819091e-05,3,5,100
600.0,1219.6777944125088,-0.8195044447323818,-0.008411088885482077,8.939499906587494e-06,3,5,100
600.0,1259.4963187330377,-0.5842064182836392,-0.008728499749758556,7.2460791063784105e-06,3,5,100
600.0,1327.2081817029634,-1.1327684912008071,-0.008614740101946577,9.23040985878691e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1352.7091834104872,-1.154967901791384,-0.00906027355294843,1.0014881040600442e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1382.2756618102949,-0.9478706832762441,-0.008878843833703489,8.439446408410066e-06,3,5,100
600.0,1243.6387816839674,-1.3468161924955964,-0.008325983884407655,1.1100802615891428e-05,3,5,100
600.0,1455.835943193528,-0.6313414926342993,-0.010162596871336587,7.517192099936705e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1448.3670397691478,-1.4017413224227955,-0.010146640481665564,1.2123997629010132e-05,3,5,100
600.0,1349.4501405869705,-1.4223718764843203,-0.008631627400210836,1.0880991450602255e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1508.0678879343025,-2.106650410261608,-0.010575704866359455,1.7631347196692913e-05,3,5,100
600.0,1473.500035131994,-1.0859494938544039,-0.010136868370326605,9.67770596796854e-06,3,5,100
600.0,1486.415286626846,-1.405805199996959,-0.00980959362029899,1.1576034289531618e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1437.5295950787277,-0.8825714172089643,-0.009417840810650557,8.808409715203013e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1448.5127627321046,-1.6573336587282907,-0.00997343577429041,1.5550218375378637e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1404.2089670336627,-0.6651081134671294,-0.00983180207337716,7.5041462369998905e-06,3,5,100
600.0,1421.2790720106973,-1.3000784796332512,-0.009447179516897003,9.828728579719108e-06,3,5,100
600.0,1449.1058560074985,-1.895688693063434,-0.009715794570558047,1.529182604378521e-05,3,5,100
600.0,1423.44100007566,-1.4683341133002852,-0.009766121631839878,1.2948493906202235e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1470.4683481752797,-1.2381806039551149,-0.010638570278349286,1.278306719969113e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1418.0035638746795,-1.4139062912185194,-0.009365981258737105,1.05530482385376e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1385.5205004183847,-0.9842808983203734,-0.009179667393477725,1.0483933596391961e-05,3,5,100
600.0,1316.7988476112055,-1.0284127682415087,-0.009157637447026086,8.802166029192876e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1491.345487095672,-1.0096253141881895,-0.010183738454044992,9.262396563597675e-06,3,5,100
600.0,1415.8821043956127,-1.4555465217753591,-0.009929049185620672,1.2578829528428706e-05,3,5,100
600.0,1320.258486654348,-1.0103514428658729,-0.008950162839093048,1.1146221691902711e-05,3,5,100
600.0,1257.6464992799695,-1.3335069724374875,-0.008079594594257555,1.2171729037037973e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1321.530260340473,-1.1919163445948338,-0.009347479139201711,1.0997628003708354e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1478.5890217472959,-0.9782995335779457,-0.009983102844138784,1.0321717158239601e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1356.0218451521666,-1.649999909647252,-0.008869957216595392,1.188518594230071e-05,3,5,100
600.0,1359.9852240828054,-0.8555883925726109,-0.009200056866469804,8.795776806191535e-06,3,5,100
600.0,1380.0700761668368,-0.9461374138748095,-0.009401618246308996,9.544333654083056e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1370.7424410482197,-1.176618109414224,-0.00906217345935279,1.0164027405259194e-05,3,5,100
600.0,1373.9288068123224,-1.4234687934395636,-0.009533413733771267,1.1699411517615287e-05,3,5,100
600.0,1404.2582348241758,-1.3767230402679007,-0.009433309230097234,1.2257191566496012e-05,3,5,100
600.0,1482.1064266509095,-1.4208089550563792,-0.009213110743519996,1.010858834043185e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1338.1675986355265,-1.4428627022359553,-0.009191460404174333,1.264451757748199e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1345.0119407382685,-0.9543141012041643,-0.00943211469067854,9.124197050364886e-06,3,5,100
600.0,1290.5635409366635,-1.1117242014087296,-0.008884220215400265,1.0868891814744589e-05,3,5,100
600.0,1445.8580457797252,-0.8711802536441148,-0.009424192847333271,7.31554341501608e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1209.0401156223236,-1.0910005890979007,-0.008392182136401308,9.437141885687445e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
600.0,1366.9965207027099,-1.131234877577662,-0.00892548080926274,1.0856012733429673e-05,3,5,100
600.0,1399.935635763839,-0.8912358125250692,-0.009403314518139796,8.856104880933966e-06,3,5,100
600.0,1394.5718795805603,-1.2895677236515253,-0.009511891834122316,1.1814155539241714e-05,3,5,100
600.0,1394.4884414707258,-0.9628956414446209,-0.009344492977392113,9.425649837506338e-06,3,5,100
600.0,1447.2338512296722,-1.6465377362390008,-0.009861772018722554,1.4118565878134167e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1415.0664811832623,-0.7062050640634943,-0.01020140801358635,8.318567151902572e-06,3,5,100
600.0,1546.5924213493513,-1.5986114583464117,-0.010976361733289546,1.2530983271983807e-05,3,5,100
600.0,1301.7497646162026,-0.7521202932609221,-0.009419520556229515,8.518289065812935e-06,3,5,100
600.0,1258.7476640366388,-1.0050830946311589,-0.008178605178217961,9.139716083809706e-06,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1380.2177929168906,-1.266665718547558,-0.009184880592513945,1.0964002209620616e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,1327.9592916527847,-0.7856048042447112,-0.008742863752538854,8.339156603937296e-06,3,5,100
600.0,1353.5402148044207,-0.9797601979484001,-0.009256910380907996,1.102178309981889e-05,3,5,100
600.0,1412.7836956569577,-1.0802422572384633,-0.009788675977601507,1.1092378177346384e-05,3,5,100
600.0,1471.0358876969733,-1.2142631973165943,-0.00958252722582831,1.0232832453608094e-05,3,5,100
600.0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,5,100
