x_shift,intercept,x,x^2,x^3,x^4,degree,laser energy,gate delay
600.0,0,0,0,0,0,0,5,100
600.0,1404.2283120775596,-0.5927469144682552,-0.016861547971146387,4.874779384836308e-06,5.411204933680066e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1645.3113972817428,0.02456072362854947,-0.025400302872983505,2.1446745366380356e-06,9.580665416507699e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1664.6456479548888,0.06022529538712303,-0.028775378720799313,2.3390726625435507e-06,1.1664335429396135e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1459.112499704468,-0.734194153644166,-0.015419592728422917,7.3180857300316655e-06,3.6267855600381606e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1632.2923593199696,0.4084493707527328,-0.02565851818086299,-6.881384653572932e-07,1.0221230687890377e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1665.21572943583,-0.19838284177101198,-0.02205683430491432,4.8252986218988775e-06,7.104068217288558e-08,4,5,100
600.0,1667.9082318835403,-0.5218466118737615,-0.020492355415543437,6.359498891727625e-06,6.466476003917306e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1464.1235569295316,-0.8037190547658304,-0.02048744762548056,5.619924758277371e-06,7.53371896892236e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1697.5906780217888,0.7168917863018897,-0.025894242537985786,-4.977921203847546e-06,9.8328144770087e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1648.184811464301,-0.3366873183699026,-0.021355274297612914,3.1791713218587335e-06,7.324739057399015e-08,4,5,100
600.0,1771.6478662847057,0.2595786805588559,-0.02618585871600801,1.3543418252301997e-07,9.607539974119387e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1521.0395705115407,-0.5435256287348998,-0.017811059324875457,6.141816457432016e-06,4.7713933108176267e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1838.8722177949226,1.5745803401972227,-0.032338251762726346,-9.11577139245612e-06,1.336427908947505e-07,4,5,100
600.0,1749.6728338078026,-0.6327845922747658,-0.025738642940127753,8.266389565663167e-06,9.144162120242246e-08,4,5,100
600.0,1701.7794617021505,0.1845485543192676,-0.02850715714823182,-3.355212430353561e-07,1.1605204871821235e-07,4,5,100
600.0,1625.942827825993,0.08917731576816094,-0.018359380739592677,-1.0565597304365123e-06,5.148597527057667e-08,4,5,100
600.0,1560.0623167623967,0.20755014216952478,-0.018341727660997675,-2.5874292316623203e-07,5.6014396259322765e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1560.1453920124336,-0.2505475943385687,-0.021306441451890527,3.875013105616541e-06,6.988747136690594e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1508.584000441522,0.08230907642577195,-0.021510051433625145,1.204307149213662e-06,8.156864288973871e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1582.1953552830767,0.20368982378751196,-0.01621751568338062,2.427498174066515e-06,3.96311218215696e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1582.2511574993607,0.35696952369218793,-0.01997560186065538,1.5032943160999937e-06,6.72928054966098e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1610.990015167439,0.0260874629947212,-0.025571734547372514,2.511239122683995e-06,9.89769869934536e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1684.9597259945963,-0.49307763872924987,-0.017371407549060584,6.657066428556248e-06,4.5437411345425615e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1829.3567098939507,1.435938216205576,-0.03217277851197987,-6.125399071674039e-06,1.338185482123876e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1533.6667304240389,-1.5334139096349588,-0.015991631292457,1.3188363777297244e-05,3.95542295042507e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1569.5273591436282,-0.8899781511192101,-0.01929837327371669,9.779446507948788e-06,5.808008371631656e-08,4,5,100
600.0,1494.6835611117806,-0.6367167838406362,-0.016544287393540233,5.125288659763096e-06,4.495782610743774e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1562.4225180396222,-0.0743697034484283,-0.022281254976887863,3.099650493679263e-06,8.107164838892866e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1597.1642034319239,-0.26045345728033514,-0.020244254673428837,4.607413639271388e-06,6.56107036449492e-08,4,5,100
600.0,1734.1945833995717,0.7505119231700161,-0.027894757474774955,-2.6406305891154227e-06,1.1333854844791466e-07,4,5,100
600.0,1743.916401236025,0.5231031820730424,-0.026755062138863323,-1.3810099902119493e-06,1.0092063082437753e-07,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1582.1588348293872,0.5934552411365861,-0.01957454466993406,-2.5255567992794744e-06,6.598589955667102e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1408.7831027917966,-0.6857988067873929,-0.017033728324360158,5.779452817173861e-06,5.235228991258891e-08,4,5,100
600.0,1755.8471924955575,0.665102685760189,-0.03224013089555894,-1.3553928780109373e-06,1.353423268417535e-07,4,5,100
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,515.0536293264456,2.1502304689425498,-0.020970994506620703,-1.2189464624798538e-05,1.0399983631563713e-07,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,473.86249629649717,0.40311332564277247,-0.012333901285428089,1.4786234399402618e-07,5.557030513223587e-08,4,5,1500
600.0,39.836907041080934,-0.980713726189741,0.010839813806588466,7.636773243470014e-06,-7.801525425559466e-08,4,5,1500
600.0,336.1364730332714,-0.3012484227013582,-0.008378539658791618,4.324382825460007e-06,4.198661522436014e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,519.0498170504659,0.8373566514228372,-0.013400892094369315,-2.0860989904689384e-06,6.308918857389911e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,328.68154905162623,0.43218245508154707,-0.014179628308136594,-1.7740857862643314e-07,7.973024105793402e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,396.509466177064,-0.2798406522891,-0.009283481649998912,4.317989548796254e-06,4.48873902998315e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,409.72598455710107,0.07318781468094475,-0.013225610727841973,9.172580471931951e-07,6.699293047502638e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,428.74824620266673,0.14678759269652042,-0.01663069174979788,2.42104549929063e-06,8.473394613592404e-08,4,5,1500
600.0,0,0,0,0,0,0,5,1500
600.0,0,0,0,0,0,0,5,1500
