x_shift,intercept,x,x^2,x^3,x^4,degree,laser energy,gate delay
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1452.7550530576646,-1.3775310208446476,-0.017215298301415136,1.2632719852150226e-05,5.0189739447279885e-08,4,5,100
600.0,1543.6412537653414,-1.0523641037597984,-0.018360877237961287,9.213455389117133e-06,5.710426121045111e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1332.0935075357256,-1.1627306726445554,-0.013962555418278155,1.0475868616613719e-05,3.317987324946633e-08,4,5,100
600.0,1357.251294678419,-0.7703977415640608,-0.014944798781343239,9.005322165295566e-06,4.011554456820156e-08,4,5,100
600.0,1370.972463630973,-1.0291977489649706,-0.013705250067946324,1.0055551620910146e-05,3.435172456682464e-08,4,5,100
600.0,1514.7592423579808,-0.7871160430862225,-0.01860596858491901,8.168583846399485e-06,5.887674895720774e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1562.5349631660756,-0.6700288703648895,-0.016933491594956863,7.449365048641168e-06,4.9427694689283536e-08,4,5,100
600.0,1281.2403976721675,-0.645039759998209,-0.01490649072315378,6.97865903821437e-06,4.6092484966763816e-08,4,5,100
600.0,1609.5230535958772,-0.9530556600949853,-0.018006486159808766,1.0587585953248923e-05,4.7633120672037144e-08,4,5,100
600.0,1670.2242430684535,-0.6636743571354501,-0.020690811978441435,7.007525716285573e-06,6.700221462109788e-08,4,5,100
600.0,1696.6207424099905,-0.9122897749903117,-0.02014361094817071,9.308205280763907e-06,6.316895166523087e-08,4,5,100
600.0,1468.6669452416884,-0.8607326896144284,-0.020303203910211017,8.48392459310916e-06,7.211103619141871e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1502.066643622923,-1.2052863049802076,-0.017422378743508788,1.01097227997631e-05,5.330672981681334e-08,4,5,100
600.0,1527.1865269655475,-0.3160714416203545,-0.016185079878982253,5.390970537625709e-06,4.274001191460993e-08,4,5,100
600.0,1583.6744146455528,-0.7272983032184283,-0.01953954381884771,8.151160697062853e-06,6.175529070245747e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1662.5548271735022,-0.9144053287256323,-0.01806101289560952,8.843000338734535e-06,5.1267113522973525e-08,4,5,100
600.0,1603.4820909288114,-0.7116345852669715,-0.01794562823899857,6.712934756209232e-06,4.99553926303409e-08,4,5,100
600.0,1626.4393370945174,-1.003104735102441,-0.017825428725478962,1.0889195866728363e-05,5.00747418339225e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1542.4345523210409,-0.9441800881094989,-0.016753536558281316,8.897870680229745e-06,4.5119720598054554e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1671.7983591689992,-1.502639322774375,-0.020794461785160687,1.4129286897901332e-05,6.209720741759034e-08,4,5,100
600.0,1573.7223441640022,-0.6909016726033869,-0.02081575458960581,7.5816392615953096e-06,7.006329274571018e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1502.7022310305304,-0.5796288604101677,-0.01535782094576423,5.7959084078097325e-06,4.073077394648944e-08,4,5,100
600.0,1534.2087320529056,-0.3531926329906272,-0.016780124456552966,4.9703683448917786e-06,4.437980616668693e-08,4,5,100
600.0,1498.4036557632212,-1.0467374880042042,-0.016316789020576726,1.1605984765591243e-05,4.4727993607636346e-08,4,5,100
600.0,1469.945092930449,-1.0793285506863386,-0.01681563522484078,9.788594467882682e-06,4.813279283128207e-08,4,5,100
600.0,1373.2682119492429,-0.5623422918909611,-0.013758787867733402,6.9817566044485365e-06,3.575867758823792e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1597.9160308717387,-1.0229398790871003,-0.020906580279792104,9.661760240763935e-06,7.076676067422805e-08,4,5,100
600.0,1445.7228422924832,-0.8111299994472709,-0.017487287341346348,9.787106083831808e-06,5.374301483080068e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1618.8096806466012,-0.2020218805598012,-0.018939437222294134,5.1238812249199505e-06,5.715173897485321e-08,4,5,100
600.0,1561.845258043164,-0.2704642493492634,-0.017753247889113092,5.178325322913381e-06,5.208688772266641e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1543.2461871129674,-1.0857358474066223,-0.0178280399531525,9.69881751030136e-06,5.303468489660295e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1517.6645808423282,-0.9869590891120166,-0.015939166397033428,9.399496899644868e-06,3.9190406268969866e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1619.0608894834963,-1.3017737847323487,-0.01628562028920845,1.172532979253173e-05,4.120037930673419e-08,4,5,100
600.0,1374.7732181943618,-0.7137319786753198,-0.01584323737711233,7.161018224002193e-06,4.653669014375351e-08,4,5,100
600.0,1445.716817414137,-1.3169595210385092,-0.016454847424430374,1.2730340101370198e-05,4.7961998722041995e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1553.2985334431103,-1.2149282049188528,-0.017775931189658756,1.1732907709209382e-05,4.93933933102871e-08,4,5,100
600.0,1348.7599472990585,-0.4891170037871044,-0.013172567649258267,6.460560931308076e-06,2.911328013211531e-08,4,5,100
600.0,1617.4210886854903,-0.5713405301902401,-0.019085607752492337,6.1368380704017e-06,6.070588378924892e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1624.6996048352037,-0.22462631713855907,-0.019811362642922842,5.3900079811530725e-06,6.383199806089863e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1550.9466809848002,-1.656643462681964,-0.016908166404316968,1.5172385267438103e-05,4.6481938207825495e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1606.38796984446,-0.9973041952131712,-0.02023041236420092,1.0412133367785043e-05,6.312305812309667e-08,4,5,100
600.0,1528.0730304489855,-0.9845658667423063,-0.018270943060716374,9.365151915077417e-06,5.5779103554720066e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1449.5263475964641,-1.1902110763530291,-0.01561129666697825,1.1573304454874347e-05,4.106130774444089e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1395.0120142011583,-0.7061483068676202,-0.013036405741897919,7.34145750647919e-06,2.661998860218919e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
600.0,1532.143485147154,-1.4602817063611235,-0.017221868473329002,1.4993127394342881e-05,4.8300951413712455e-08,4,5,100
600.0,1538.9725451871313,-0.8970384665649132,-0.016527192314847217,9.716517667734706e-06,4.2827337247696424e-08,4,5,100
600.0,0,0,0,0,0,0,5,100
