x_shift,intercept,x,x^2,x^3,x^4,degree,laser energy,gate delay
550.0,133.91525989441706,0.09401110174242301,-0.0029971279021105716,4.780827688990779e-08,1.6321700932083713e-08,4,20,2600
550.0,277.42463912364235,-0.15552552379409995,-0.005064394664986874,2.544938881755346e-06,2.3133273759660636e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,167.6169978711445,-0.08043410205885822,-0.002798908489993254,1.6507320981970223e-06,1.0631784543461217e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,171.29304584796913,0.07508949618680986,-0.003377084641615433,4.789643186930911e-07,1.5774841242315886e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,221.38156259859554,0.17549409632600385,-0.0044711992279735015,6.404365296527183e-08,2.1365628256937268e-08,4,20,2600
550.0,245.456194160268,-0.1957455461361867,-0.003848342586636987,2.7339483383598272e-06,1.4749597670767165e-08,4,20,2600
550.0,212.24905334773874,0.066247499905394,-0.003695331751786385,1.305976968400746e-07,1.6566838090112123e-08,4,20,2600
550.0,161.57563649187992,-0.040805973856422234,-0.0033712853782992326,1.053933840838559e-06,1.5273724587632756e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,174.2595995852057,0.1235171069945844,-0.0035391238031766796,2.5582695846955934e-07,1.50001801580629e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,186.30559969827044,0.09472353787964415,-0.004210057871574477,8.845282194116874e-07,1.966970424169422e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,278.98091150934073,-0.12328971335777866,-0.004256554022040895,1.4113146384954502e-06,1.8101178527748786e-08,4,20,2600
550.0,175.74520202183555,-0.0409671364893332,-0.0037444916328732963,1.6341018218913615e-06,1.7223177710434086e-08,4,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
550.0,0.0,0.0,0.0,0.0,0.0,0,20,2600
