x_shift,intercept,x,x^2,x^3,x^4,degree,laser energy,gate delay
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,684.8001603343135,-4.63117472466498,0.001619625415540877,3.4757248748248636e-05,-4.585388595445347e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,822.8948699582877,-4.050507092724189,0.001756408283008078,2.9523876355449676e-05,-5.2306849815022766e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,838.9411775095,-5.130760723542277,0.005030177344611709,3.797382028200752e-05,-8.265448634411785e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,708.2890113535017,-5.037306221069921,0.007312042309848694,3.753490852423947e-05,-8.50646723939883e-08,4,5,200
600.0,892.4120320874952,-4.4221152304146045,0.003895490172987207,3.196460896172132e-05,-7.082512941066012e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,795.3928849665153,-4.770283759782574,0.001679295193086116,3.344475831083041e-05,-5.4093538298347516e-08,4,5,200
600.0,729.065730178489,-4.5151709807684215,0.005165205090379441,3.041850177704608e-05,-6.871411246052038e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,561.9999818979786,-4.783539416465908,0.009173619081665583,3.3287033027890523e-05,-9.174619777528325e-08,4,5,200
600.0,587.0658254481157,-6.112899865138888,0.009903076807191232,4.5678824230435956e-05,-9.932335359866593e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,599.5464918383246,-5.990894774345353,0.011020297821664088,4.255690211381471e-05,-1.097880961036787e-07,4,5,200
600.0,545.5156931058721,-4.608930259763485,0.012080003549265757,3.184579476415391e-05,-1.0687051155525531e-07,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,816.6345866761193,-4.555469660224307,0.0048334660202043415,3.435801303833095e-05,-7.28836838208306e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,796.2200702176119,-5.152661631757008,0.0032183540468976347,3.7151604654601484e-05,-5.857365492394094e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,642.0756290114754,-4.986078232909316,0.007998744550950763,3.638262827893134e-05,-8.739490128440704e-08,4,5,200
600.0,655.4664534471541,-4.561163109420131,0.0047468239897107,3.3253177757874936e-05,-7.316464274292363e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,726.6913624114917,-4.811395322939598,0.004729339986552563,3.3160882462243e-05,-6.734010098315144e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,756.4373554943886,-5.093119321749666,0.0072331219981909296,3.7980336610281436e-05,-8.364897889589956e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,856.0442913819614,-4.97747088159013,0.0017980390189807675,3.618910759552662e-05,-5.263253546923458e-08,4,5,200
600.0,765.4683084967621,-4.873978777675916,0.0027542630779824125,3.657633091284578e-05,-5.924548974271336e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,644.6535191934752,-4.279018569440506,0.007247552468910328,3.055336925188015e-05,-7.846970143134572e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,732.5345264387678,-4.668878099489559,0.00721555844695819,3.222128702730466e-05,-7.86176425780243e-08,4,5,200
600.0,785.8509236852358,-5.242666192423051,0.0034951441193414186,3.8273283373380375e-05,-6.225786307704353e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,992.4918911743648,-4.86426453668264,0.0017821072523715189,3.321310227381369e-05,-6.16328642535209e-08,4,5,200
600.0,708.9369548904308,-3.6792583314316136,0.0027274170903375367,2.805436854662424e-05,-5.6663641856163114e-08,4,5,200
600.0,727.48339126631,-4.611233796199852,0.0050193087372684886,3.174675423691402e-05,-7.214800430684567e-08,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,835.2319047824473,-3.8329417669096193,0.00180291510761271,2.6554519817006866e-05,-5.348796052886164e-08,4,5,200
600.0,514.9075791558793,-4.841365573772135,0.016275517589951927,3.052390385227046e-05,-1.2783240598415757e-07,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,796.6082529704128,-5.4131026941514815,0.004751897487706021,4.038107587715277e-05,-7.499618898573925e-08,4,5,200
600.0,546.3218073220447,-5.155382851645391,0.014191200814360514,3.5455619114224126e-05,-1.2437437680779284e-07,4,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,0,0,0,0,0,0,5,200
600.0,924.1296354626841,-5.377708123096033,0.0006508060543033569,3.9044948785852924e-05,-4.9624498195150046e-08,4,5,200
600.0,0,0,0,0,0,0,5,500
600.0,0,0,0,0,0,0,5,500
600.0,0,0,0,0,0,0,5,500
600.0,203.36407376580232,-3.4473651254356685,0.010710904986901951,2.4853300765994013e-05,-8.111116189714182e-08,4,5,500
600.0,0,0,0,0,0,0,5,500
600.0,0,0,0,0,0,0,5,500
600.0,248.94414108137744,-3.387777549896442,0.012101533893690997,2.26625896075996e-05,-9.352778656761844e-08,4,5,500
600.0,0,0,0,0,0,0,5,500
600.0,0,0,0,0,0,0,5,500
600.0,0,0,0,0,0,0,5,500
